파일	테이블명
DW_D_FE_MK_MIDPROMO_ACTRSLT_01.sql	d_lgpromo
DW_D_FE_MK_MIDPROMO_ACTRSLT_01.sql	d_midpromo
DW_D_FE_MK_MIDPROMO_ACTRSLT_01.sql	d_prmtn
DW_D_FE_MK_MIDPROMO_ACTRSLT_01.sql	fe_mk_midpromo_actrslt
DW_D_FE_MK_MIDPROMO_ACTRSLT_01.sql	fe_mk_midpromo_temp
DW_D_FE_MK_MIDPROMO_ACTRSLT_01.sql	fe_mk_onln_prmtn_chng_temp
DW_D_FE_MK_MIDPROMO_ACTRSLT_01.sql	fe_mk_prmtn_actrslt
DW_D_FE_MK_MIDPROMO_ACTRSLT_01.sql	fe_mk_prmtn_ord_sl
DW_D_FE_MK_MIDPROMO_ACTRSLT_01.sql	fe_mk_prmtn_ord_temp
DW_D_FE_MK_MIDPROMO_ACTRSLT_01.sql	fe_sl_ord_prod
DW_D_FE_MK_MIDPROMO_ACTRSLT_01.sql	wl_io_dd_price
DW_D_FE_MK_MIDPROMO_ACTRSLT_01.sql	wl_z_camp_cell_cust
DW_D_FE_MK_ONLN_PRMTN_CHNG_TEMP_01.sql	d_prmtn
DW_D_FE_MK_ONLN_PRMTN_CHNG_TEMP_01.sql	fe_mk_onln_prmtn_chng_temp
DW_D_FE_MK_ONLN_PRMTN_CHNG_TEMP_01.sql	fe_mk_prmtn_ord_temp
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	d_lgpromo
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	d_prmtn
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	de_onln_memb
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	fe_mk_bnft_offer_dtl
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	fe_mk_onln_prmtn_chng_temp
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	fe_mk_ord_temp
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	fe_mk_prmtn_actrslt
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	fe_mk_prmtn_ord_sl
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	fe_mk_prmtn_ord_temp
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	fe_sl_ord_prod
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	we_mt_deal_evt
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	we_mt_deal_evt_fvr
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	we_mt_evt_fvr
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	we_od_ord
DW_D_FE_MK_PRMTN_ACTRSLT_01.sql	we_od_ord_dscnt
